Anio,Mes,Clave ciudad,limon,leche,camaron,tortillas,electricidad,alquiler,frijol,pollo,Fecha,suma,categoria,Season
2021,10,14,37.63,24.5,236.9,16.02,461.41,104.09,25.33,82.25,2021-10-01,988.1300000000001,1,4
2021,10,15,35.9,25.0,238.9,19.0,378.71,107.56,39.58,82.6,2021-10-01,927.25,3,4
2021,10,16,10.0,16.5,309.0,23.0,378.71,105.97,38.0,75.0,2021-10-01,956.1800000000001,2,4
2021,10,17,33.9,23.38,314.5,20.0,319.64,101.73,40.0,100.0,2021-10-01,953.15,2,4
2021,10,18,24.25,29.65,289.0,22.0,378.71,106.56,34.44,28.0,2021-10-01,912.6099999999999,3,4
2021,10,19,28.9,22.0,305.0,20.0,210.05,111.62,34.12,139.9,2021-10-01,871.59,2,4
2021,10,20,27.4,19.03,260.0,12.5,168.35,107.9,31.9,29.9,2021-10-01,656.9799999999999,3,4
2021,10,21,32.83,27.0,203.0,25.0,319.64,106.77,49.74,139.9,2021-10-01,903.88,3,4
2021,10,22,28.2,23.5,180.0,15.0,461.41,105.66,34.62,65.0,2021-10-01,913.39,2,4
2021,10,23,40.65,19.0,365.0,20.0,461.41,106.48,24.0,76.65,2021-10-01,1113.19,1,4
2021,10,24,34.8,24.6,276.0,22.0,429.59,115.86,37.11,129.8,2021-10-01,1069.76,1,4
2021,10,25,28.8,24.13,239.0,21.0,195.56,108.27,31.67,27.75,2021-10-01,676.18,3,4
2021,10,26,17.25,14.5,250.0,19.25,217.3,104.38,41.65,120.0,2021-10-01,784.3299999999999,3,4
2021,10,27,35.33,21.72,243.5,23.0,168.35,105.77,40.3,69.9,2021-10-01,707.8699999999999,3,4
2021,10,28,25.0,24.5,269.0,20.0,352.59,105.81,33.0,65.0,2021-10-01,894.8999999999999,2,4
2021,10,29,38.65,22.5,189.0,22.0,461.41,112.75,36.17,100.0,2021-10-01,982.4799999999999,1,4
2021,10,30,17.5,47.5,257.5,17.75,461.41,106.96,25.0,102.9,2021-10-01,1036.5200000000002,1,4
2021,10,31,32.9,23.5,205.0,24.5,378.71,107.75,39.0,39.65,2021-10-01,851.0099999999999,3,4
2021,10,32,35.38,18.78,190.5,23.0,168.35,106.03,65.05,69.0,2021-10-01,676.0899999999999,3,4
2021,10,33,42.9,23.25,170.0,18.0,461.41,104.33,49.78,70.0,2021-10-01,939.6700000000001,2,4
